Sl,Participant_ID,Participant_Birthdate,Marrital_Status,Family_Migrant_Tenure(Years),Gurdian_Age,Family_Size,Asset_Yes,Productive_Asset_Num,Productive_Asset_Value,Total_Income_Annualy,Income_Monthly_per_head,Chronic_Patient_Num,Disabled_Num,Loans_Num,Loans_Outstanding,has_Savings,Savings_Amt,has_18_50_Family_member,has_50_plus,has_under5,Has_Chronic_Dissease,Loans_Taken_Yes,Loans_Running_Yes,Migrant,Disabled_Yes,Participant_Selected_For_AID,Aid_Type_Recomended
1,P-1002,2004-06-15,Married,0.41,25,2,0,0,0,77000,3208.33333333333,0,0,1,30000,1,200,1,0,0,0,1,1,1,0,No,
2,P-1003,1989-05-07,Married,0,38,4,0,0,0,81600,1700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Enterprise Development
3,P-1004,1989-02-20,Married,1,41,6,1,1,3000,96000,1333.33333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes,Enterprise Development
4,P-1005,1993-03-05,Married,2,32,5,0,0,0,150000,2500,0,0,0,0,0,0,1,1,1,0,0,0,1,0,Yes,Enterprise Development
5,P-1006,1980-11-02,Married,10,60,4,0,0,0,132000,2750,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Yes,Enterprise Development
6,P-1007,1997-02-24,Married,6,30,3,0,0,0,108000,3000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes,Enterprise Development
7,P-1008,2001-08-05,Married,3,26,3,0,0,0,108000,3000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes,Enterprise Development
8,P-1010,1985-04-24,Married,16,48,4,0,0,0,120000,2500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes,Enterprise Development
9,P-1011,1993-01-14,Married,6,34,4,0,0,0,108000,2250,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes,Enterprise Development
10,P-1012,1986-01-01,Married,0,42,5,0,0,0,84000,1400,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Yes,Enterprise Development
11,P-1014,1994-01-01,Married,0,40,5,0,0,0,63000,1050,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Yes,Enterprise Development
12,P-1015,1978-07-15,Married,4,51,3,0,0,0,108000,3000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Yes,Enterprise Development
